scene_idx,scene_id,algo,snr_db,K,modulation,gain_err_dB,phase_err_deg,mutual_coupling,position_err_pct,rmspe_deg,elapsed_s,true_deg,est_deg
870,870,music,3.2515649795532227,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,32.39328096533492,0.0004668750334531069,-39.2197;-23.8860;+17.9509,-17.9528;+23.5866;+38.9758
479,479,music,1.3867236375808716,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,40.822407012687485,0.0004698339616879821,-56.8467;+33.9016;+43.1689,-43.0066;-34.0875;+56.7828
856,856,music,12.243175506591797,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,30.87317335609894,0.00046829204075038433,-22.5355;+20.7223;+46.3788,-46.5367;-20.7539;+22.6486
63,63,music,0.3894250690937042,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,8.68119325185844,0.0004717500414699316,-41.1405;+0.4327;+51.8581,-51.5216;-0.2566;+41.0023
943,943,music,16.273963928222656,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,27.667407399434857,0.00046745792496949434,-23.2605;+20.7884;+40.4029,-40.2368;-20.6059;+23.2341
501,501,music,19.8006649017334,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,16.914589419218657,0.00046570796985179186,-36.0838;+1.8700;+56.5516,-56.6825;-1.9039;+36.0636
591,591,music,12.979214668273926,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,63.64637213287011,0.00046691601164638996,+15.8893;+38.0486;+41.9391,-41.4248;-36.3762;-15.7551
898,898,music,-0.17480485141277313,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,60.52090920727762,0.0004677500110119581,-49.5396;-41.7950;-27.9487,-13.5767;+28.5000;+40.9979
411,411,music,0.4478927254676819,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,15.24918937336793,0.0004692920483648777,-33.0716;+12.7592;+27.8723,-27.6754;-12.5650;+33.0860
523,523,music,1.8438013792037964,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,46.1021150283139,0.00047041603829711676,-32.9055;-26.7818;-10.5430,+10.2661;+25.4338;+31.7176
